description	enabled	* type	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	* Laz / skill	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	* Laz / skill	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	* Laz / skill	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	* Laz / skill	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	* Laz / skill	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,crf,noe"	E3+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E4+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,rar,noe"	E3+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E4+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,tmp,noe"	E3+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E4+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,crf,noe"	E3+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E4+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,rar,noe"	E3+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E4+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,tmp,noe"	E3+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E4+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,crf,noe"	E3+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E4+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,rar,noe"	E3+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E4+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,tmp,noe"	E3+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E4+																																																										0
blessings (simple): Weird: 6 charges	1	SC - Blessings			100	16	219	0		3	"ct1a,crf,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,rar,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,tmp,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,crf,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,rar,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,tmp,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,crf,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,rar,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,tmp,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,crf,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,rar,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E5+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,tmp,noe"	E4+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E5+																																																										0
blessings (simple): Weird: 5 charges	1	SC - Blessings			100	16	219	0		3	"ct1a,crf,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,rar,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,tmp,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,crf,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,rar,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,tmp,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,crf,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,rar,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,tmp,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,crf,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,rar,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E6+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,tmp,noe"	E5+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E6+																																																										0
blessings (simple): Weird: 4 charges	1	SC - Blessings			100	16	219	0		3	"ct1a,crf,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,rar,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,tmp,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,crf,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,rar,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,tmp,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,crf,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,rar,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,tmp,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,crf,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,rar,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E7+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,tmp,noe"	E6+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E7+																																																										0
blessings (simple): Weird: 3 charges	1	SC - Blessings			100	16	219	0		3	"ct1a,crf,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,rar,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,tmp,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,crf,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,rar,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,tmp,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,crf,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,rar,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,tmp,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,crf,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,rar,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E8+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,tmp,noe"	E7+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E8+																																																										0
blessings (simple): Weird: 2 charges	1	SC - Blessings			100	16	219	0		3	"ct1a,crf,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,rar,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,tmp,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3													E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,crf,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,rar,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,tmp,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4													E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,crf,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,rar,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,tmp,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40							E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,crf,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,rar,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E9+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,tmp,noe"	E8+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55							E9+																																																										0
blessings (simple): Weird: 1 charge	1	SC - Blessings			100	16	219	0		3	"ct1a,crf,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3																																																																							0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,rar,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3																																																																							0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1a,tmp,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3																																																																							0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,crf,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4																																																																							0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,rar,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4																																																																							0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2a,tmp,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4																																																																							0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,crf,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40																																																																	0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,rar,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40																																																																	0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1w,tmp,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	6	dmg-min				1	3	dmg%				11	40																																																																	0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,crf,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55																																																																	0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,rar,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55																																																																	0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2w,tmp,noe"	E9+	qum					useitem			100	blessings-counter				1	1	dmg-max				1	10	dmg-min				1	4	dmg%				17	55																																																																	0
shrine crafting: Tainted: 10 charges	1	SC - Crafting								2	"ct1x,crf"	G0+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G1+																																																										0
shrine crafting	1	SC - Crafting								2	"ct1x,rar"	G0+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G1+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,crf"	G0+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G1+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,rar"	G0+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G1+																																																										0
shrine crafting: Tainted: 9 charges	1	SC - Crafting								2	"ct1x,crf"	G1+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G2+																																																										0
shrine crafting	1	SC - Crafting								2	"ct1x,rar"	G1+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G2+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,crf"	G1+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G2+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,rar"	G1+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G2+																																																										0
shrine crafting: Tainted: 8 charges	1	SC - Crafting								2	"ct1x,crf"	G2+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G3+																																																										0
shrine crafting	1	SC - Crafting								2	"ct1x,rar"	G2+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G3+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,crf"	G2+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G3+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,rar"	G2+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G3+																																																										0
shrine crafting: Tainted: 7 charges	1	SC - Crafting								2	"ct1x,crf"	G3+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G4+																																																										0
shrine crafting	1	SC - Crafting								2	"ct1x,rar"	G3+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G4+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,crf"	G3+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G4+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,rar"	G3+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G4+																																																										0
shrine crafting: Tainted: 6 charges	1	SC - Crafting								2	"ct1x,crf"	G4+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G5+																																																										0
shrine crafting	1	SC - Crafting								2	"ct1x,rar"	G4+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G5+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,crf"	G4+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G5+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,rar"	G4+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G5+																																																										0
shrine crafting: Tainted: 5 charges	1	SC - Crafting								2	"ct1x,crf"	G5+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G6+																																																										0
shrine crafting	1	SC - Crafting								2	"ct1x,rar"	G5+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G6+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,crf"	G5+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G6+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,rar"	G5+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G6+																																																										0
shrine crafting: Tainted: 4 charges	1	SC - Crafting								2	"ct1x,crf"	G6+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G7+																																																										0
shrine crafting	1	SC - Crafting								2	"ct1x,rar"	G6+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G7+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,crf"	G6+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G7+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,rar"	G6+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G7+																																																										0
shrine crafting: Tainted: 3 charges	1	SC - Crafting								2	"ct1x,crf"	G7+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G8+																																																										0
shrine crafting	1	SC - Crafting								2	"ct1x,rar"	G7+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G8+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,crf"	G7+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G8+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,rar"	G7+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G8+																																																										0
shrine crafting: Tainted: 2 charges	1	SC - Crafting								2	"ct1x,crf"	G8+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G9+																																																										0
shrine crafting	1	SC - Crafting								2	"ct1x,rar"	G8+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60							G9+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,crf"	G8+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G9+																																																										0
shrine crafting	1	SC - Crafting								2	"ct2x,rar"	G8+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90							G9+																																																										0
shrine crafting: Tainted: 1 charge	1	SC - Crafting								2	"ct1x,crf"	G9+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60																																																																	0
shrine crafting	1	SC - Crafting								2	"ct1x,rar"	G9+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				6	60	att%-minion				6	60																																																																	0
shrine crafting	1	SC - Crafting								2	"ct2x,crf"	G9+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90																																																																	0
shrine crafting	1	SC - Crafting								2	"ct2x,rar"	G9+						"usetype,crf"			100	sock			6	6	6	desc-honorific				1	1	dmg-minion				9	90	att%-minion				9	90																																																																	0
blessings (simple): Tainted: 10 charges	1	SC - Blessings			100	16	219	0		3	"ct1x,crf,noe"	G0+	qum					useitem			100	blessings-counter				1	1	dmg-minion				6	60	att%-minion				6	60													G1+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1x,rar,noe"	G0+	qum					useitem			100	blessings-counter				1	1	dmg-minion				6	60	att%-minion				6	60													G1+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1x,tmp,noe"	G0+	qum					useitem			100	blessings-counter				1	1	dmg-minion				6	60	att%-minion				6	60													G1+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2x,crf,noe"	G0+	qum					useitem			100	blessings-counter				1	1	dmg-minion				9	90	att%-minion				9	90													G1+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2x,rar,noe"	G0+	qum					useitem			100	blessings-counter				1	1	dmg-minion				9	90	att%-minion				9	90													G1+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2x,tmp,noe"	G0+	qum					useitem			100	blessings-counter				1	1	dmg-minion				9	90	att%-minion				9	90													G1+																																																										0
blessings (simple): Tainted: 9 charges	1	SC - Blessings			100	16	219	0		3	"ct1x,crf,noe"	G1+	qum					useitem			100	blessings-counter				1	1	dmg-minion				6	60	att%-minion				6	60													G2+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1x,rar,noe"	G1+	qum					useitem			100	blessings-counter				1	1	dmg-minion				6	60	att%-minion				6	60													G2+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1x,tmp,noe"	G1+	qum					useitem			100	blessings-counter				1	1	dmg-minion				6	60	att%-minion				6	60													G2+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2x,crf,noe"	G1+	qum					useitem			100	blessings-counter				1	1	dmg-minion				9	90	att%-minion				9	90													G2+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2x,rar,noe"	G1+	qum					useitem			100	blessings-counter				1	1	dmg-minion				9	90	att%-minion				9	90													G2+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct2x,tmp,noe"	G1+	qum					useitem			100	blessings-counter				1	1	dmg-minion				9	90	att%-minion				9	90													G2+																																																										0
blessings (simple): Tainted: 8 charges	1	SC - Blessings			100	16	219	0		3	"ct1x,crf,noe"	G2+	qum					useitem			100	blessings-counter				1	1	dmg-minion				6	60	att%-minion				6	60													G3+																																																										0
blessings (simple)	1	SC - Blessings			100	16	219	0		3	"ct1x,rar,noe"	G2+	qum					useitem			100	blessings-counter				1	1	dmg-minion				6	60	att%-minion				6	60													G3+																																																										0
