"Cutthroat1"	"Злоба Бартука"
"x"	"Ваш CD ключ к Lord of Destruction в настоящий момент используется следующим подлецом:"
"x"	"CD Ключ Lord of Destruction, использованный при установке, принадлежит другому продукту. Пожалйста, переустановите приложение с ипользованием правильного CD Ключа."
"Playersubtitles29"	"Отступить!"
"AmaOnly"	"(Только для Амазонки)"
"SorOnly"	"(Только для Колдуньи)"
"NecOnly"	"(Только для Некроманта)"
"PalOnly"	"(Только для Паладина)"
"BarOnly"	"(Только для Варвара)"
"DruOnly"	"(Только для Друида)"
"AssOnly"	"(Только для Ассассина)"
"Chatcaps"	"ЧАТ"
"Newscaps"	"НОВОСТИ"
"Laddercaps"	"РЕЙТИНГ"
"LaddeCharacter"	"Персонаж в Рейтинге"
"x"	"A Ladder Character can only be played with other Ladder characters during the Ladder Season when it was created. After the Ladder Season is over, then the Ladder character will become a Non-Ladder Character. Continue?"
"x"	"Невозможно войти в игру. Обычный персонаж не может войти в игру, созданную персонажем в рейтинге."
"x"	"Невозможно войти в игру. Персонаж в рейтинге не может войти в игру, созданную обычным персонажем."
"Sksyn"	"Синергии"
"Damplev"	"% Физический Урон за БУН"
"ElemDampLev"	"Стихийного Урона за Уровень"
"Firedplev"	"Урона Огнем за Уровень"
"Colddplev"	"Урона Холодом за Уровень"
"Ltngdplev"	"Урона Молнией за Уровень "
"Poisdplev"	"% Урона Ядом за БУН"
"Magdplev"	"Магического Урона за Уровень"
"Rangplev"	"Ярдов за Уровень"
"RateFireplev"	"к скорости стрельбы за уровень"
"AttRateplev"	"к Рейтингу Атаки за Уровень"
"AttSpeedplev"	"к Скорости Атаки за Уровень"
"Defplev"	"к Защите за Уровень"
"Manacoredplev"	"к Затратам Маны за Уровень"
"Missplev1"	"к Снарядам за Уровень"
"Missplev2"	"+1 Снаряд за Уровень"
"Missplev3"	"+1 Снаряд за %d Уровня(ей)"
"Boltplev1"	"к стрелам за уровень"
"Boltplev2"	"+1 стрела за уровень"
"Boltplev3"	"+1 стрела за %d уровня(ей)"
"Shotplev1"	"к зарядам за уровень"
"Shotplev2"	"+1 заряд за уровень"
"Shotplev3"	"+1 заряд за %d уровня(ей)"
"Hpplev"	"к Жизни за Уровень"
"WRSpeedplev"	"к Скорости Ходьбы/Бега за уровень"
"Durateplev"	"к Длительности за Уровень"
"CoLenplev"	"к Длительности Холода за Уровень"
"FrezLenplev"	"к Длительности Заморозки за Уровень"
"PoisLenplev"	"к Длительности Яда за Уровень"
"Convphy2magplev"	"Преобразовывает %d%% Физического Урона в Магический за Уровень"
"Convphy2elemplev"	"Преобразовывает %d%% Физического Урона в Стихийный за Уровень"
"Convphy2magalt"	"Преобразовывает %d%% Физического Урона в Стихийный"
"Convphy2elemalt"	"Преобразовывает %d%% Физического Урона в Магический"
"Secplev1"	"Секунда за Уровень"
"Secplev2"	"Секунд за Уровень"
"Damabsplev"	"к поглощению урона за уровень"
"WeapDamsk"	"Урона Оружия"
"Hbdplev"	"к урону святой стрелой за уровень"
"Healplev"	"к восстановлению жизни за уровень"
"Healplev2"	"восстановления жизни каждые 2 секунды"
"FanYDam"	"Ваш урон: "
"PartDam"	"Урон отряда: "
"AFDImm"	"к среднему урону огнем в секунду за уровень"
"Cgslow"	"замедление врага: "
"Corexpdam"	"Урон взрывом трупа: "
"ModitemAura"	"Level %d %s Aura When Equipped"
"Moditem2allattrib"	"ко всем Атрибутам"
"Moditem2ExpG"	"к Получаемому Опыту"
"ModitemHPaK"	"к Жизни после каждого Убийства"
"ModitemRedVendP"	"к Ценам у Торговцев"
"ModitemSMRIP"	"Убитые Монстры Не Оставляют Трупов"
"ModitemAttratvsM"	"к Рейтингу Атаки против"
"Moditemdamvsm"	"к Урону против"
"Moditemslayat"	"Убито:"
"Moditemreanimas"	"Возродить как:"
"Moditemenrescoldsk"	"к Сопротивлению Холоду у Врага"
"Moditemenresfiresk"	"к Сопротивлению Огню у Врага"
"Moditemenresltngsk"	"к Сопротивлению Молнии у Врага"
"Moditemenrespoissk"	"к Сопротивлению Яду у Врага"
"ModitemdamFiresk"	"к Урону Заклинаний Огня"
"ModitemdamColdsk"	"к Урону Заклинаний Холода"
"ModitemdamLtngsk"	"к Урону Заклинаний Молнии"
"ModitemdamPoissk"	"к Урону Заклинаний Яда"
"Moditemskondeath"	"%d%% Шанс использовать навык уровня %d %s при Смерти"
"ModitemskonLevel"	"%d%% Шанс использовать навык уровня %d %s при получении Нового Уровня"
"ModitemskonKill"	"%d%% Шанс использовать навык уровня %d %s при Убийстве"
"Skillname224"	"Werewolf"
"Skillsd224"	"превращение в волка"
"Skillld224"	"превращение в волка"
"Skillan224"	"Werewolf"
"StrSkill43a"	" скелет маг"
"StrSkill44a"	" скелет маг"
"StrSklTabItem9"	"+%d к заклинаниям вызова"
"SOJSold"	"%d камня(ей) Джордана проданные торговцам"
"DiabloWalksEarth"	"Диабло Ходит по Земле"
"neg"	"Череп адского отродья"
"TrappDoor"	"Люк"
"uhf"	"Легендарный Кулак"
"skillxld124P"	"your life and mana/nthe souls of slain enemies to give/nwhen active, aura attempts to redeem"
"7wa"	"Топор Берсерка"
"skillld42"	"здоровье всех ближайших врагов/nсоздает электрическое поле, снижающее"
"xhg"	"War Gauntlets"
"Fiendra"	"Fiend"
"Wraithra"	"Wraith"
"Fiend"	"Fiend"
"Wraith"	"Wraith"
"D2bnetHelp10"	"\blue;Голубой Текст\gold; представляет действия, которые были предприняты в канале чата."
"ItemStats1r"	"Шанс Блока: "
"x"	"Сервер полон"
"x"	"Новую игру сейчас невозможно создать. Пожалуйста, войдите в игру или зайдите позже."
"merca239"	"Ярулф"
"StrSkill63Patch"	"в течение "
"x"	"Вы поставлены в очередь для создания новой игры. Попробуйте присоединиться к игре чтобы не ждать."
"X"	"Очередь игры"
"x"	"Создано слишком много игр. Пожалуйста присоединитесь к какой-нибудь или ждите своей очереди."
"x"	"Ваш номер в очереди: "
"x"	"В очереди игры"
"9bl"	"Стилет"
"eats and spits corpses"	"Поедает трупы"
"qstsa2q63f"	"Исследуйте Гробницу Тал Рашы"
"Shocking Hit"	"Шокирующий удар"
"11032"	"Shower of Rocks: Перезарядка уменьшается на 1.5 секунды"
"ModStrCuck1"	"unused"
"ModStr3u"	"Обращает Цель в Бегство при Попадании"
"ModStr4c"	"к Рейтингу Атаки"
"11036"	"Eviscerate: +2 Снаряда"
"ModStr6f"	"Шанс Возродить Цель"
"ModStr6d"	"Удар Ослепляет Цель"
"x"	"Введите IP адрес сервера, чтобы войти в игру"
"StrSkill61"	"Несколько ударов"
"D2bnetHelp13c"	"/reply"
"D2bnethelp13d"	"Позволяет вам отвечать на шепот не вводя имя"
"D2bnetHelp52"	"/whisper, /msg, /reply"
"D2bnetHelp10a"	"\yellow;Желтый Текст\gold; представляет особые сообщения, посланные непосредственно с battle.net"
"BnetnewGameTime"	"Время игры:"
"D2bnetHelp12c"	"При использовании расширенных команд вы можете использовать имена для людей того же королевства, и имена персонажей @королевства для людей другого королевства."
"D2bnetHelp12d"	"Вы должны использовать *имя аккаунта для всех в баттл.нете, включая людей из других игр, таких как СтарКрафт."
"D2bnetHelp12b"	"Где бы команда снизу не попросила <имя_аккаунта>, пожалуйста используйте <имя_персонажа>, <имя_персонажа@Реалм>, or <*имя_аккаунта>."
"x"	"ШЛЮЗ: %s"
"x"	"сменить пароль"
"x"	"Сменить Пароль"
"x"	"Текущий Пароль"
"x"	"Новый Пароль"
"x"	"Подтвердите Новый Пароль"
"x"	"ВЫБЕРИТЕ ШЛЮЗ"
"x"	"Если выбранный шлюз не соответствует вашему местонахождению, выберите другой шлюз Баттл.Нет."
"x"	"СМЕНИТЬ РЕАЛМ"
"x"	"Текущий Реалм"
"x"	"Персонаж '%s' уже существует в этом Реалме."
"D2bnetHelp6a"	"\dgrey;Серый Текст\gold; также представляет собой действия, которые выполнили люди на чат-канале."
"D2bnetHelp10aPatch"	"\blue;Голубой Текст\gold; представляет собой специальные сообщения, посланные прямо из баттл.нет или от Представителя Близзард."
"x"	"ПОСЛАТЬ"
"x"	"ПРЕДУПРЕЖДЕНИЕ ПАРОЛЯ"
"x"	"Вы собираетесь отослать свой пароль другому пользователю Баттл.Нет. Близзард никогда не попросит ваш пароль."
"x"	"СОЕДИНЕНИЕ..."
"x"	"РЕАЛМ УПАЛ"
"x"	"Еще..."
"x"	"You have more than 8 characters on this Diablo II Realm. Only 8 characters can be displayed at a time."
"x"	"To see more characters, you must delete one of your existing characters. This deletion is permanent. You will not be able to recover the deleted character."
"X"	"Правила"
"X"	"Заходя на Баттл.Нет, вы подтверждаете, что прочли и согласны с текущими Правилами"
"x"	"%0 %1"
"GemXp1"	"Перчатки, Пояс, Сапоги:"
"GemXp2"	"Щит:"
"GemXp3"	"Оружие:"
"GemXp4"	"Броня и Шлем:"
"strCharSelectHardcoreCharacter"	"Смертный Персонаж"
"x"	"Missing string"
"EskillLowersResistX"	"Понижает Сопротивление"
"ExInsertSocketsX"	"Можно Вставить в Предметы с Гнездами"
"EskillToMeleeX"	" to melee attacks"
"eskillincasemasteryX"	"%d%% Шанс Критического Удара"
"CfgSay7X"	"Сказать 'Отступаю'"
"champghostlyX"	"Призрачный"
"champfanaticX"	"Фанатичный"
"champpossessedX"	"Одержимый"
"champberserkX"	"Берсерк"
"PalMercExST1X"	"Оборотень"
"PalMercEXST3X"	"Боевой Маг"
"PalMercEXST4X"	"Храмовник"
"increaseswithplaylevelX"	"(Основано на Уровне Персонажа)"
"RankX"	"Место"
"x"	""
"x"	"Ввод электронной почты дает дополнительные возможности, такие как восстановление аккаунта, если вы забудете свой пароль. Посетите http://tsw.median-xl.com для более детальной информации.\n"
"x"	"Адрес Электронной Почты:"
"x"	"Подтвердите Адрес Электронной Почты:"
"x"	"РЕГИСТРАЦИЯ"
"x"	"НЕ РЕГИСТРИРОВАТЬСЯ"
"x"	"Пожалуйста убедитесь, что оба адреса электронной почты совпадают."
"x"	"Неверный Адрес Электронной Почты"
"x"	"Введенный вами адрес электронной почты неверен. Пожалуйста введите правильный адрес."
"x"	"Без зарегестрированного адреса электронной почты вы не сможете восстановить ваш аккаунт в случае утраты пароля. У вас больше не будет возможности зарегестрировать адрес электронной почты для этого аккаунта."
"x"	"Если вы забыли пароль и у вас есть зарегестрированный адрес электронной почты для этого аккаунта, вы можете запросить новый пароль, нажав Выслать. Убедитесь, что вы ввели именно тот адрес электронной почты, который регистрировали для этого аккаунта."
"x"	"Ваш запрос нового пароля получен. Если вы регистрировали адрес электронной почты для этого аккаунта, то получите электронное письмо с инструкциями по завершению смены пароля."
"x"	"ПРОДОЛЖИТЬ"
"x"	"Забыли пароль? Нажмите 'Настройки Аккаунта'."
"x"	"Печатать нелегко. Вы можете получить новый и более легкий пароль, нажав 'Настройки Аккаунта'."
"x"	"настройки аккаунта"
"x"	"Настройки Аккаунта"
"x"	"Если вы знаете свой пароль и хотите его сменить, нажмите сюда."
"x"	"Если вы забыли свой пароль или он не работает, нажмите сюда."
"DAntlers (Grade 6)"	"Если вы хотите сменить зарегестрированный адрес электронной почты, нажмите сюда."
"DAntlers (Sacred)"	"получить новый пароль"
"DAspis (Grade 1)"	"Получить Новый Пароль"
"DAspis (Grade 2)"	"сменить адрес эл. почты"
"DAspis (Grade 3)"	"Сменить Адрес Эл. Почты"
"DAspis (Grade 4)"	"Старый Адрес Эл. Почты:"
"DAspis (Grade 5)"	"Новый Адрес Эл. Почты:"
"DAspis (Grade 6)"	"Подтвердите Новый Адрес Эл. Почты:"
"DAspis (Sacred)"	"Если вы регистрировали адрес электронной почты для этого аккаунта, то можете сменить его тут. Оба адреса электронной почты должны быть активны."
"DAssault Helmet (Grade 1)"	"Старый и новый адрес электронной почты совпадают. Пожалуйста введите другой адрес."
"DAssault Helmet (Grade 2)"	"Пожалуйста убедитесь, что два новых адреса совпадают."
"DAssault Helmet (Grade 3)"	"Свежие Новости"
"DAssault Helmet (Grade 4)"	"Последняя Завершённая Сложность:"
"DAssault Helmet (Grade 5)"	"Нету"
"DAssault Helmet (Grade 6)"	"войти в чат"
"DAssault Helmet (Sacred)"	"\nwww.median-xl.com\n"
"DAthulua's Hand (Grade 1)"	"Небезопасный Пароль"
"DAthulua's Hand (Grade 2)"	"Выбранный вами пароль небезопасен. Пожалуйста выберите другой."
"DAthulua's Hand (Grade 3)"	"ПРЕДУПРЕЖДЕНИЕ О КЛЮЧЕ"
"DAthulua's Hand (Grade 4)"	"You cannot send your cdkey to another user on Battle.net. Blizzard will never ask you for your cdkey for any reason."
"DAthulua's Hand (Grade 5)"	"Умрет Сегодня"
"DAthulua's Hand (Grade 6)"	"Умрет через %d дней"
"DAthulua's Hand (Sacred)"	"Покойся с Миром"
"DAvenger Guard (Grade 1)"	""
"DAvenger Guard (Grade 2)"	""
"DAvenger Guard (Grade 3)"	""
"DAvenger Guard (Grade 4)"	""
"DAvenger Guard (Grade 5)"	""
"DAvenger Guard (Grade 6)"	""
"DAvenger Guard (Sacred)"	""
"DBanded Plate (Grade 1)"	""
"DBanded Plate (Grade 2)"	"Если не играть персонажем, его срок действия кончится через 6 месяцев с момента последнего использования."
"DBanded Plate (Grade 3)"	"'Просроченные' персонажи удаляются с сервера."
"DBanded Plate (Grade 4)"	"Вашему персонажу '%s' уделяли недостаточно внимания, и он умер."
"DBanded Plate (Grade 5)"	"\red;Devouring Banded Plate"
"DBanded Plate (Grade 6)"	"\red;Devouring Banded Plate"
"DBanded Plate (Sacred)"	"\red;Devouring Banded Plate"
"DBelt (Grade 1)"	"\red;Devouring Belt"
"DBelt (Grade 2)"	"\red;Devouring Belt"
"DBelt (Grade 3)"	"\red;Devouring Belt"
"DBelt (Grade 4)"	"\red;Devouring Belt"
"DBelt (Grade 5)"	"\red;Devouring Belt"
"DBelt (Grade 6)"	"\red;Devouring Belt"
"DBelt (Sacred)"	"\red;Devouring Belt"
"DBlackguard Helm (Grade 1)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 2)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 3)"	"к Навыкам Ассассина"
"DBlackguard Helm (Grade 4)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 5)"	"\red;Devouring Blackguard Helm"
"DBlackguard Helm (Grade 6)"	"ВЫ ЗАБАНЕНЫ НА Б.НЕТЕ. ПОЗДРАВЛЯЮ ЧЕМПИОН"
"DBlackguard Helm (Sacred)"	"ХА-ХА ОН СНОВА ЛЕЖИТ"
"toa"	"\orange;Belladonna Extract"
"DBladed Shield (Grade 2)"	"Twisted Essence of Suffering"
"DBladed Shield (Grade 3)"	"Charged Essence of Hatred"
"DBladed Shield (Grade 4)"	"Burning Essence of Terror"
"DBladed Shield (Grade 5)"	"Уровень предмета"
"DBladed Shield (Grade 6)"	"Сбросить очки атрибутов/навыков"
"DBladed Shield (Sacred)"	"\red;Devouring Bladed Shield"
"x"	"-- НАЧАЛО ЯДРА СИГМЫ --"
"x"	"Следующие строки захардкожены -- Марко"
"x"	"игровые настройки"
"x"	"сохранить и выйти"
"x"	"продолжить игру"
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	""
"x"	"-- КОНЕЦ 1.1 --"
"x"	"%ls до закрытия уровня\nНовый квест начался"
"Rusted"	"Rusted"
"x"	"(Требуемый Уровень: %d)"
"Used"	"Used"
"x"	"Закроется через: %s"
"x"	"Зайдите в другую игру чтобы попытаться снова\nЭта зона заблокирована"
"x"	"ЕСЛИ ВЫЙДЕШЬ - БОЛЬШЕ НЕ ЗАЙДЁШЬ"
"LegionX"	"Legionnaire"
"EternalVigil"	"Eternal Vigil"
"TerrQ"	"Terror"
"Leviath"	"Leviathan"
"Peace"	"Peace"
"Mana"	"Mana"
"ZakQ"	"Zakarum"
"DrQ"	"Dragon"
"boxX"	"Box"
"barrelX"	"Barrel"
"spines"	"Spines"
"slammer"	"Slammer"
"prophetX"	"Prophet"
"charmX"	"Charm"
"strBodyLocItemHead"	"Шлем"
"strBodyLocItemNeck"	"Ожерелье"
"strBodyLocItemTorso"	"Доспехи"
"strBodyLocItemRArm"	"Правая рука"
"strBodyLocItemLArm"	"Левая рука"
"strBodyLocItemRRin"	"Правое кольцо"
"strBodyLocItemLRin"	"Левое кольцо"
"strBodyLocItemBelt"	"Пояс"
"strBodyLocItemBoots"	"Обувь"
"strBodyLocItemGloves"	"Перчатки"
"strBodyLocItemRArmSwitch"	"Другая правая рука"
"strBodylocItemLArmSwitch"	"Другая левая рука"
"strDurabilityWarningDamaged"	"повреждены\nваших надетых вещей\nодна или более"
"strDurabilityWarningCritical"	"сильно повреждены\nваших надетых вещей\nодна или более"
"strDurabilityWarningBroken"	"сломаны\nваших надетых вещей\nодна или более"
"strRaidNotif"	"this quest\nnamed \orange;%S\gold; to join in\nactivated, join the game\nA new raid quest has been"
"strRaidNotifOwnGame"	"activated in this game.\nA new raid quest has been"
"StrAmmoWarningLow"	"имеет мало боеприпасов\nваших надетых вещей\nодна или более"
"StrAmmoWarningCritical"	"имеет очень мало боеприпасов\nваших надетых вещей\nодна или более"
"StrAmmoWarningEmpty"	"кончились боеприпасы\nваших надетых вещей\nу одной или более"
"StrLevelUpNotif"	"Новый Уровень !"
"StrStatPointsNotif"	"Новые Очки Характеристики "
"StrSkillPointsNotif"	"Новые Очки Навыка"
"StrQuestUpdateNotif"	"Вы совершили прогресс в квесте"
"StrCfgTabHotkey"	"Управления\nНастройки"
"StrCfgTitleHud"	"Настройки отображения"
"StrCfgTabDisplay"	"Предпочтений\nНастройки"
"StrCfgTitleNotifications"	"Оповещения"
"StrDisplayAlvl"	"Уровень Локации (alvl): "
"x"	"Warp Blade"
"CfgNoPickup"	"Вкл/выкл подбор предметов"
"CfpMapReveal"	"Открыть карту"
"StrCfgSmallAutomap"	"Маленькая автокарта"
"StrCfgTitleAutomap"	"Настройки автокарты"
"StrCfgTheme"	"Тема Интерфейса"
"CfgNotifGold"	"Потери и Получения Золота"
"CfgNotifLevelUp"	"Повышение Уровня"
"CfgNotifNewStats"	"Новые Очки Характеристики "
"CfgNotifNewSkills"	"Новые Очки Навыка"
"CfgNotifActiveBuffs"	"Отображать активные баффы и дебаффы"
"CfgNotifRealmWhispers"	"Активность друзей"
"CfgDisplayHp"	"Всегда отображать здоровье"
"CfgDisplayMp"	"Всегда отображать ману"
"CfgDisplayGameTime"	"Отображать игровое время"
"CfgDisplayIlvl"	"Отображать уровень предмета"
"CfgDisplayGameName"	"Отображать название игры"
"CfgDisplayGamePwd"	"Отображать пароль игры"
"CfgDisplayAlvl"	"Отображать уровень локации"
"CfgVolume"	"Громкость Игры"
"CfgMusicVolume"	"Громкость Музыки"
"CfgContrast"	"Контрастность"
"CfgGamma"	"Гамма"
"x"	"Mana Shield: +20% Уменьшение Урона"
"x"	"Урон Наносимый Себе Остался Неизменным\n+3 сек. к Длительности Баффа от Balefire"
"x"	"Pagan Rites также Восстанавливает Ману"
"1263"	"Superbeast добавляет Смертельный Удар вместо Урона Заклинаний в пропорции 1:2"
"x"	"+30% Шанс Пробить для Mind Flay"
"x"	"+8 Снарядов Storm Crows, если вы некоторое время не получаете урон оружия"
"x"	"+60 к Рейтингу Атаки за Уровень Персонажа свыше 105\nLion Stance Не Уменьшает Ваше Сопротивление Физическому Урону"
"x"	"+40% Шанс Пробить для Stormeye Totem"
"x"	"+200% Урона Огнём к Colosseum"
"x"	"Graveyard: +2 Дополнительных Снаряда"
"x"	"Раг нар Рок"
"x"	"Бонус Атрибутов от Dragon's Blessing Уменьшен Вдвое"
"x"	"Mana Shield: Вытягивается на 54% меньше Маны при Получении Удара"
"x"	"Mana Shield: 65% меньше потеряной маны при попадании"
"x"	"Moonbeam: Длительность Баффа Удваивается"
"x"	"50% Вашего Урона Заклинаний Огня и Яда добавляется как Бонус к Защите"
"11276"	"Hunting Banshee: +2 Снаряда"
"StrCfgAssignHotkey"	"или нажмите любую клавишу для назначения\nнажмите DEL для снятия назначения\nнажмите ESC для отмены"
"x"	"Вы не можете наносить Урон Огнём, Молнией или Ядом\nМакс. Жизнь получаемая за единицу Живучести уменьшается на 0.9\n100% Живучести Добавляется как Урон Холодом Оружию"
"x"	"Remorseless Winter"
"x"	"\dgrey;+25% к Смертельному Удару\nОтбрасывает Врагов\n\orange;Если у Вас Есть Минимум 1000 Силы:"
"x"	"''Знания - Это Сила''"
"x"	"+2.5% к Урону Заклинаний за каждые 1% Получаемого Опыта"
"11283"	"\dgrey;Shower of Rocks: ускорение перезарядки на 1 секунду\nThunder Slam: ускорение перезарядки на 4 секунды\n\orange;Если у Вас Нет Очков в Боевых Стойках:"
"x"	"\red;Превращение в Deathlord\n\orange;Parasite: +6 Целей"
"x"	"Flamefront: +3 к Макс. кол-ву Снарядов"
"x"	"+2% Смертельный Удар за БУН Firedance"
"x"	"Idol of Scosglen Не Имеет Перезарядки"
"1288"	"Ember Spirit: +25% к Общему Урону"
"1289"	"Ember Spirit: +10% к Общему Урону"
"x"	"Mana Sweep: +15% Общего Урона, Более не Крадёт Ману"
"x"	"Fortress: +50% к Шансу Пробивания"
"x"	"+60% Шанса Пробить для Fortress"
"x"	"Celeri Caelesti Iustitia"
"11294"	"20% от Сопротивления Молнии Добавлено как Урон Заклинаний Молнии"
"x"	"Сопротивление Физическому Урону +15% после 120-го уровня\n+25% к Получаемому Опыту до 120-го уровня"
"x"	"Превращение в Treewarden"
"x"	"Thundercrack: +100% Бонусного Урона Молнией"
"11298"	"\dgrey;+8% к Физ./Маг. Урону Заклинаний\n+25% Бонус к Защите\n+10 к Жизни после Каждого Убийства\n+1 ко Всем Навыкам\n\grey;(за каждую вставленную Великую/Элементальную Руну)\n\orange;Gematria"
"11299"	"+180% Урона Против Закарумов"
"x"	"\dgrey;+20% ко Всем Сопротивлениям\n+0.75% к Базовому Шансу Блока\n+1 ко Всем Навыкам\n\grey;(за каждую вставленную Великую/Элементальную Руну)\n\orange;Gematria"
"x"	"Worship the Crack Monkeys!"
"x"	"Не Может Быть Извлечено из Гнёзд"
"x"	"Крадёт 2% Жизни в секунду"
"x"	"+1 Снаряд для Hunting Banshee/Ember Spirit\nВытягивает 2% Жизни в секунду"
"x"	"+1 Снаряд для Hunting Banshee/Ember Spirit"
"x"	"+2 Снаряда для Hunting Banshee\n\orange;Ember Spirit Обнулён"
"x"	"+3 Снаряда для Ember Spirit\n\orange;Hunting Banshee Обнулён"
"x"	"Случайный Бонус К Стихийным Сопротивлениям"
"x"	"Случайный Бонус к Скорости Передвижения"
"x"	"Tempest: +3 Снаряда"
"x"	"+150% к Общему Урону Familiar"
"x"	"+8 к Максимальному БУН Raven Familiar"
"11313"	"\dgrey;10-15% Базовой Живучести\n20-30% Базовой Силы и Ловкости\nДобавляет Урон Огнём и Молнией:\n5% Врождённый Стихийный Урон\n\orange;Уровень 10 Nephalem Weapons"
"x"	"Spiral Dance: +300% Бонусного Магического Урона"
"x"	"+1% к Сопротивлению Физическому Урону за каждые 18% Регенерации Маны"
"x"	"+1% к Физ./Маг. Урону Заклинаний за каждые 20 Живучести"
"11317"	"Нажмите ПКМ для открытия Портала Времени\n"
"x"	"-5% Смертельного Удара за каждые 1% Скорости Атаки\n+400% к Смертельному Удару"
"x"	"Shieldmaiden: +15% Общий Физический Урон Оружия за уровень персонажа свыше 120"
"11320"	"Не Может Быть Улучшено"
"11321"	"+50% Шанс Пробить для Mind Flay"
"11322"	"Maelstrom MkI: +25% Бонусного Магического Урона"
"11323"	"-1% к Урону Заклинаний Холода за 1 радиус круга света\n+3% к Урону Заклинаний Огня за 1 радиус круга света\n+2 к Фокусировке Заклинаний за 1 радиус круга света"
"11324"	"\dgrey;Восстановление Маны +40%\nВосстанавливает 2.8% Жизни в Секунду\n\orange;Уровень 20 Eagle Stance\n\orange;Mind Flay: +2 Луча"
"11325"	"Уровень 10 Wolf Stance"
"11326"	"Добавляет 140% Вашего Физ./Маг. Урона Заклинаний как Бонусный Физический Урон Оружия\nДобавляет 140% Вашего Урона Заклинаний Огня как Бонусный Физический Урон Оружия"
"11327"	"-1% к Сопротивлению Яду у Врага за каждые 25 Силы"
"11328"	"\dgrey;Добавляет 75-150 Урона Огнём\n+30% к Скорости Атаки\n\grey;(за каждую вставленную Великую/Стихийную Руну)\n\orange;Gematria"
"11329"	"Mana Pulse: +50% к Длительности"
"11330"	"300% Сокрушительного Удара Добавляется как Урон Заклинаний Огня и Холода"
"11331"	"+200% Бонусного Магического Урона для Spiral Dance"
"11332"	"Lightning Shield: +(18-30) Урона Молнией Оружию за Уровень\nThundergod Nova Наносит 5000 Урона Молнией\nStormblast: +1 Снаряд"
"11333"	"Vessel of Judgement: +3 Цели"
"11334"	"+1% Смертельного Удара за каждые 6% Урона Заклинаний Огня\nОбщая Защита Уменьшена на 25%"
"11335"	"Death Effigy: +1 к Максимуму Effigy"
"11336"	"3 Снаряда Magic Missiles"
"11337"	"\dgrey;Радиус 26,6 Ярдов\nВы и Существа-Нежить: Максимум Жизни +6%\n\orange;Demon Blood Aura"
"11338"	"Навыки Расходуют Жизнь Вместо Маны"
"11339"	"\dgrey;-10% к Сопротивлению Яду у Врага\n+30 к Жизни за Каждое Убийство\n+2.5% Сопротивление Физическому Урону\n+1 ко Всем Навыкам\n\grey;(за каждую вставленную Великую/Элементальную Руну)\n\orange;Gematria"
"11340"	"Vessel of Retribution: 0.7% Урона Крадётся как Жизнь"
"11341"	"Queen of Blades: +2500 Урона Молнией"
"11342"	"-6% Физического Урона Оружия за каждый 1% Сокрушительного Удара"
"11343"	"\orange;Kraken Stance: +3% к Урону за каждый БУН в Древе Templar\n\dgrey;Добавляет 150-375 Урона Огнём, Холодом и Молнией\n\orange;Kraken Stance Уровня 30"
"11344"	"Не Наносит Стихийного и Магического Урона"
"11345"	"Не Бойтесь Зла"
"11346"	"50% Вашего Бонуса к Защите Добавляется как Живучесть"
"11347"	"\dgrey;+600 к Фокусировке Заклинаний\n+25% к Сопротивлению Физическому Урону\n+33% к Смертельному Удару\n+100% к Поиску Магических Предметов\n+50% к Скорости Сотворения Заклинаний\n\orange;Thundermaiden, Crimson Rite и Dragonlore:\nЕсли у вас Нету (тёти) Очков в Lioness, Shieldmaiden"
"11348"	"Thunder Path: 150 к Жизни после Каждого Убийства\nHammer Path: -30% к Сопротивлению Молнии у Врага"
"11349"	"Crucify: +30% Магического Урона за БУН"
"11350"	"Shadow Refuge: -1% к Сопротивлению Огню, Холоду и Молнии у Врага за БУН"
"11351"	"Solar Flare: +100% к Длительности"
"11352"	"Stampede: +1 Снаряд"
"11353"	"Вы можете использовать только Рукопашные, Навыки Призыва и Поддержки"
"11354"	"Пробивание Огня Уменьшает Пробивание Холодом\nУрон Заклинаний Огня Уменьшает Урон Заклинаний Холода\nGlacial Nova: +150% к Общему Урону"
"11355"	"\dgrey;20 сек. Перезарядки для Всех Заклинаний Древа Молнии\n\orange;Если у Вас есть Очки в Vengeful Power, Living Flame или Snow Queen"
"11356"	"Reckoning of Zerae: Удвоение Бонусного Урона Молнией для Hammer Of Zerae"
"11357"	"+20% к Смертельному Удару если Надето на Игрока\n+100% к Поиску Магических Предметов если Надето на Наёмника"
"11358"	"Призывает дополнительное Существо Некроманта за Каждое Использование"
"11359"	"Если был, -10% Общего Урона Mind Flay\nЕсли по Вам небыло нанесено удара ранее, +30% Общего Урона Mind Flay"
"11360"	"-3% к Сопротивлению Яду у Врага за каждый БУН в Snake Stance"
"11361"	"\dgrey;-1% к Сопротивлению Огню и Молнии у Врага за каждые 60 Атрибутов\n+200% к Урону Заклинаний Огня и Молнии\nДобавляет 3-5 Урона Молнией за каждые 20 Атрибутов\nДобавляет 3-5 Урона Огнём за каждые 20 Атрибутов\n\orange;При Использовании Windform:"
